sent_to,no. overdue responses,% overdue
Priory Group Limited,4,21.0
County Durham and Darlington NHS Foundation Trust,3,21.0
Hampshire and Isle of Wight Healthcare NHS Foundation Trust,3,21.0
Surrey and Sussex Healthcare NHS Trust,3,21.0
Birmingham City Council,3,20.0
"Department for Business, Energy and Industrial Strategy",3,20.0
Office for Product Safety and Standards,3,20.0
Oxford University Hospitals NHS Foundation Trust,3,20.0
University Hospitals of Derby and Burton NHS Foundation Trust,3,20.0
Egton Medical Information Systems,2,20.0
Frimley Health NHS Foundation Trust,2,20.0
Lincolnshire County Council,2,20.0
Trafford Council,2,20.0
Avon Fire and Rescue Services,1,20.0
Borough Care,1,20.0
Brighton and Hove City Council,1,20.0
British Association of Perinatal Medicine,1,20.0
Change Grow Live,1,20.0
Cygnet Health Care,1,20.0
Derbyshire Healthcare NHS Foundation Trust,1,20.0
HM Prison Hewell,1,20.0
Islington Council,1,20.0
London North West University Healthcare NHS Trust,1,20.0
NHS Surrey Heartlands Integrated Care Board,1,20.0
Royal Surrey NHS Foundation Trust,1,20.0
Sainsbury's,1,20.0
Somerset NHS Foundation Trust,1,20.0
Staffordshire Police,1,20.0
West Mercia Police,1,20.0
Metropolitan Police Service,13,19.0
Department for Education,9,19.0
Swansea Bay University Health Board,5,19.0
Herefordshire and Worcestershire Health and Care NHS Trust,4,19.0
Royal College of Physicians,3,19.0
South East Coast Ambulance Service NHS Foundation Trust,3,19.0
NHS England,98,18.0
Department for Transport,22,18.0
College of Policing,8,18.0
Norfolk and Suffolk NHS Foundation Trust,7,18.0
"Department for Culture, Media and Sport",5,18.0
North West Ambulance Service NHS Trust,4,18.0
Norfolk County Council,2,18.0
Nottingham University Hospitals NHS Trust,2,18.0
NHS Greater Manchester Integrated Care Board,17,17.0
Cardiff and Vale University Health Board,4,17.0
Royal College of Psychiatrists,4,17.0
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",2,17.0
Royal Pharmaceutical Society,2,17.0
Avon and Somerset Police,1,17.0
East Suffolk and North Essex NHS Foundation Trust,1,17.0
James Paget University Hospitals NHS Foundation Trust,1,17.0
NHS Cheshire and Merseyside Integrated Care Board,1,17.0
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",1,17.0
Newham Council,1,17.0
Ofcom,1,17.0
Royal Society for the Prevention of Accidents,1,17.0
Sheffield City Council,1,17.0
The Princess Alexandra Hospital NHS Trust,1,17.0
UK Health Security Agency,1,17.0
Wye Valley NHS Trust,1,17.0
Cornwall Council,4,16.0
Department of Health and Social Care,118,15.0
"Ministry of Housing, Communities and Local Government",6,15.0
Association of Ambulance Chief Executives,5,15.0
University Hospitals Birmingham NHS Foundation Trust,5,15.0
"Tees, Esk and Wear Valley NHS Foundation Trust",4,15.0
G4S,2,15.0
North Cumbria Integrated Care NHS Foundation Trust,2,15.0
Portsmouth Hospitals University NHS Trust,2,15.0
Sussex Police,2,15.0
Home Office,16,14.0
National Police Chiefs’ Council,8,14.0
East Midlands Ambulance Service NHS Trust,3,14.0
Welsh Government,3,14.0
Bolton NHS Foundation Trust,2,14.0
General Pharmaceutical Council,2,14.0
Mersey Care NHS Foundation Trust,2,14.0
Bedfordshire Police,1,14.0
British Society of Gastroenterology,1,14.0
Cambridgeshire County Council,1,14.0
Lewisham Council,1,14.0
Milton Keynes City Council,1,14.0
Royal College of Nursing,1,14.0
Stockport Council,1,14.0
"Wrightington, Wigan and Leigh Teaching Hospitals NHS Foundation Trust",1,14.0
Royal College of Paediatrics and Child Health,4,13.0
Department for Work and Pensions,2,13.0
Leicestershire Partnership NHS Trust,2,13.0
Ministry of Defence,4,12.0
NHS Birmingham and Solihull Integrated Care Board,2,12.0
Royal College of Emergency Medicine,2,12.0
Worcestershire Acute Hospitals NHS Trust,2,12.0
Epsom and St Helier University Hospitals NHS Trust,1,12.0
Hampshire County Council,1,12.0
Independent Office for Police Conduct,1,12.0
Oxford Health NHS Foundation Trust,1,12.0
Greater Manchester Police,4,11.0
Royal College of General Practitioners,3,11.0
Surrey County Council,2,11.0
The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,2,11.0
British Transport Police,1,11.0
Maidstone and Tunbridge Wells NHS Trust,1,11.0
The Dudley Group NHS Foundation Trust,1,11.0
Civil Aviation Authority,2,10.0
West Sussex County Council,1,10.0
West Yorkshire Police,1,10.0
Devon Partnership NHS Trust,2,9.0
Dorset Council,1,9.0
Leeds City Council,1,9.0
Sandwell and West Birmingham Hospitals NHS Trust,1,9.0
Whittington Health NHS Trust,1,9.0
Cornwall Partnership NHS Foundation Trust,1,8.0
Devon and Cornwall Police,1,8.0
Yorkshire Ambulance Service NHS Trust,1,8.0
Maritime and Coastguard Agency,1,7.0
NHS Digital,1,7.0
University Hospitals of Leicester NHS Trust,1,7.0
Birmingham and Solihull Mental Health NHS Foundation Trust,2,6.0
Royal College of Anaesthetists,1,6.0
West Midlands Police,1,5.0
Care UK,1,4.0
