name,title,role
Dr Edward Patrick Morgan KC,Assistant Coroner,Greater Manchester North
Mr Bernard Richmond QC,Assistant Coroner,London Inner West
Mr David Julian Rosenberg,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr John Taylor,Assistant Coroner,London North
Mrs Jean Harkin,Assistant Coroner,Cheshire
Ms Hannah Hinton,Assistant Coroner,London West
Mr Andrew Perfect,Assistant Coroner,London North
Mr David Regan,Assistant Coroner,South Wales Central
Dr Richard Ian Brittain,Assistant Coroner,London Inner North
Robert Edward Stone,Assistant Coroner,
Mrs Rebecca Ollivere,Assistant Coroner,Birmingham and Solihull
Mr Adam Hodson,Assistant Coroner,Birmingham and Solihull
Miss Caroline Margaret Jones,Assistant Coroner,Cambridgeshire and Peterborough
Mrs Charlotte Keighley,Assistant Coroner,Cheshire
Mr Harry Nathaniel Lambert,Assistant Coroner,London Inner North
Mr Jonathan Dixey,Assistant Coroner,Northamptonshire
Ms Abigail Combes,Assistant Coroner,Yorkshire South West
Carolyn Lesley Hull,Assistant Coroner,Rutland and North Leicestershire
Miss Laura Fox,Assistant Coroner,Lancashire and Blackburn with Darwen
Mr Nicholas Lane,Assistant Coroner,"Plymouth, Torbay and South Devon"
Mr J Mark Layton,Assistant Coroner,Ceredigion
Mr Simon Nicholas Burge,Assistant Coroner,"Hampshire, Portsmouth and Southampton"
Mrs Julie Mitchell,Assistant Coroner,Greater Manchester North
Mrs Krestina Hayes,Assistant Coroner,Surrey
Miss Georgina Gibbs,Assistant Coroner,Kent
Miss Lisa Judge,Assistant Coroner,Greater Manchester West
Dr Marc Lindsey Leeming,Assistant Coroner,Southend (No 2)
Mr Ian Wade KC,Assistant Coroner,London East
Peter Charles Gore,Assistant Coroner,Yorkshire South East
Mr Paul Stanford Cooper,Assistant Coroner,Lincolnshire
Mr Craig Smith,Assistant Coroner,Cumbria
Mr Robert Cohen,Assistant Coroner,Cumbria
Mr Michael Senior Salt,Assistant Coroner,Greater Manchester North
Jonathan Saul Godfrey,Assistant Coroner,Yorkshire South East
Ms Anita Davies,Assistant Coroner,Cambridgeshire and Peterborough
Sir Peter Thornton QC,Assistant Coroner,London City
Miss Susan Evans,Assistant Coroner,Derby and Derbyshire
Ms Abigail Combes,Assistant Coroner,Yorkshire South West
Mrs LOUISA ALICE ELIZABETH JONES CORCORAN,Assistant Coroner,Ceredigion
Mr David Manknell,Assistant Coroner,London Inner South
Ms Mary T Burke,Assistant Coroner,Yorkshire West Western
Mrs Susan Duncan,Assistant Coroner,Greater Manchester West
Christopher John Beverley,Assistant Coroner,Blackpool and Fylde
Mrs Lauren Costello,Assistant Coroner,Greater Manchester South
Mr james puzey,Assistant Coroner,Worcestershire
Dr Jeane Rosa Mellani,Assistant Coroner,Essex
Mrs Michaela Amy Blackmore,Assistant Coroner,Warwickshire
Mr Nicholas Leslie Rheinberg,Assistant Coroner,Wiltshire and Swindon
Mr RAVI SIDHU,Assistant Coroner,Berkshire
Miss Luisa Maria Nicholson,Assistant Coroner,Exeter and Greater Devon
Daniel Kremer,Assistant Coroner,East Sussex
Miss Janine Richards,Assistant Coroner,County Durham and Darlington
Ms Angela Woolnough,Assistant Coroner,Coventry
Mrs Helen Rimmer,Assistant Coroner,Liverpool and the Wirral
Ms Katy Ainge,Assistant Coroner,Liverpool and the Wirral
Mrs Victoria Louise Cook,Assistant Coroner,Dorset
Dr Nicholas Alastair Shaw,Assistant Coroner,Cumbria
Mr Jonathan David Leach,Assistant Coroner,North Yorkshire and York
Mr Andrew Buckley,Assistant Coroner,The Black Country Jurisdiction
Miss Sarah Murphy,Assistant Coroner,Staffordshire and Stoke-on-Trent
Mr James Hargan,Assistant Coroner,East Riding of Yorkshire and Kingston-upon-Hull
Mr Adrian John Farrow,Assistant Coroner,Greater Manchester South
Ms Angharad Davies,Assistant Coroner,Manchester City
Ms Joanna Coleman,Assistant Coroner,Oxfordshire
Ms Kate Fawell-Comley,Assistant Coroner,Brighton and Hove
John Goldring,Judge Coroner,Yorkshire South East
Mr Nicholas Sanders,Judge Coroner,Corresponding Member
Mr Graeme Dewar McKerrell,Judge Coroner,Corresponding Member
Lord Burnett of Maldon,Judge Coroner,Honorary Member
Mr Roger William Elsey,Judge Coroner,Corresponding Member
Mrs Deborah Ann,Judge Coroner,Corresponding Member
Mr Paul B Matthews,Judge Coroner,Retired Member
HHJ Mark Lucraft QC,Judge Coroner,Honorary Member
Mr Sheriff S Payne,Former Coroner,Retired Member
Miss Alison M Thompson MBE,Former Coroner,Retired Member
E Stanley Hooper,Former Coroner,Retired Member
Mr Geoff L Fell,Former Coroner,Retired Member
Peter Gerard Ashworth,Former Coroner,Retired Member
Michael J F Sheffield,Former Coroner,Retired Member
Mr Stuart P G Fisher,Former Coroner,Retired Member
Roger Douglas Atkinson,Former Coroner,Retired Member
Mr Michael Singleton,Former Coroner,Retired Member
Anthony F T Sibcy,Former Coroner,Retired Member
R J Balmain,Former Coroner,Retired Member
Edward T Carlyon,Former Coroner,Retired Member
Rodney H G Corner MBE,Former Coroner,Retired Member
Miss Wendy James,Former Coroner,Retired Member
Ms Lisa Jeanette Hashmi,Former Coroner,Retired Member
Mr David Clark Horsley,Former Coroner,Retired Member
Nigel D Chapman,Former Coroner,Retired Member
David Mitford,Former Coroner,Retired Member
Mr John Matthews,Former Coroner,Retired Member
Lawrence S Addicott,Former Coroner,Retired Member
Mr C. Brian Gallon,Former Coroner,Retired Member
Dr Peter Dean,Former Coroner,Retired Member
Mr C W Johnson,Former Coroner,Retired Member
Robert William Wilson,Former Coroner,Retired Member
Dr Alexander Robert Walker Forrest,Former Coroner,Retired Member
Dr E. Emma Carlyon,Former Coroner,Retired Member
Hamish M Turner,Former Coroner,Retired Member
Dr Paul A Knapman,Former Coroner,Retired Member
D C Masters,Former Coroner,Retired Member
Miss Veronica HAMILTON-DEELEY,Former Coroner,Retired Member
Mr V F Round,Former Coroner,Retired Member
Mr John C Taylor,Former Coroner,Retired Member
William R Morris,Former Coroner,Retired Member
Ms Maureen Taylor,Former Coroner,Retired Member
Alan L Maddrell,Former Coroner,Retired Member
David M Halpern,Former Coroner,Retired Member
Michael T Gwynne,Former Coroner,Retired Member
Mr David R Sarginson,Former Coroner,Retired Member
Mr Peter J Bedford,Former Coroner,Retired Member
Mr D T Bowen,Former Coroner,Retired Member
Mr Paul Kelly,Former Coroner,Retired Member
Mr Andrew M Bradley,Former Coroner,Retired Member
Wm J Armstrong OBE,Former Coroner,Retired Member
Mr Mark Noel Kendall,Former Coroner,North Lincolnshire and Grimsby
P M Walters,Former Coroner,Retired Member
Mr Geraint Williams,Former Coroner,Retired Member
Mike C Johnston,Former Coroner,Retired Member
Mr Christopher Kent Sumner,Former Coroner,Retired Member
Mr DAVID LLEWELYN ROBERTS,Former Coroner,Retired Member
Mr Christopher Dorries,Former Coroner,Retired Member
T Kelly,Former Coroner,Retired Member
C W Malcolm Donnelly,Former Coroner,Retired Member
J Stewart Atkinson,Former Coroner,Retired Member
Mr Ian G McCreath M.B.E.,Former Coroner,Retired Member
Mr Richard G Taylor,Former Coroner,Retired Member
Michael R Rose,Former Coroner,Retired Member
Richard J Allen,Former Coroner,Wolverhampton
Mr Ian Smith,Former Coroner,Retired Member
Richard A Hulett,Former Coroner,Retired Member
James M Symington,Former Coroner,Retired Member
Mr Dewi Pritchard Jones,Former Coroner,Retired Member
Mr Rob Turnbull,Former Coroner,Retired Member
Keith St John Wiseman,Former Coroner,Retired Member
Richard M Whittington,Former Coroner,Retired Member
Eric Armstrong,Former Coroner,Retired Member
Mr Andrew Adrian Haigh,Former Coroner,Retired Member
Dr David J Osborne,Former Coroner,Retired Member
Mr Edward G Thomas,Former Coroner,Retired Member
Mr Grahame Antony Short,Former Coroner,Retired Member
Keith M Dowding,Former Coroner,Retired Member
Mr Peter Judge,Former Coroner,Corresponding Member
D Hinchliff,Former Coroner,Retired Member
Mrs Becky Gunning,Retired/Honorary members,Honorary Member
Mr Raymond Hemingray,Retired/Honorary members,Honorary Member
Dr Robert Hunter,Retired/Honorary members,Retired Member
Mr Ian Smith,Retired/Honorary members,Retired Member
William R Knowles,Retired/Honorary members,Retired Member
Leslie Sommer,Retired/Honorary members,Honorary Member
Mr T H Kirkman,Retired/Honorary members,Retired Member
Mr Geoffrey M. Saul,Retired/Honorary members,Retired Member
Mrs Caroline Beasley-Murray OBE,Retired/Honorary members,Retired Member
Ms Henrietta Hill QC,Retired/Honorary members,Honorary Member
Mr DAVID MORRIS,Retired/Honorary members,Retired Member
"Mr Michael J C Burgess CVO, OBE",Retired/Honorary members,Retired Member
Miss Lynette Hill,Retired/Honorary members,Honorary Member
Ms Selena R Lynch,Retired/Honorary members,Retired Member
Mr Tony Brown,Retired/Honorary members,Retired Member
Ms Rebecca Margaret COBB,Retired/Honorary members,Retired Member
Mr Thomas LUCE,Retired/Honorary members,Honorary Member
Mr Andrew Tweddle,Retired/Honorary members,County Durham and Darlington
Dr William F G Dolman,Retired/Honorary members,Retired Member
Mr Michael F Coker MBE,Retired/Honorary members,Retired Member
N G Gardiner,Retired/Honorary members,Retired Member
Mr Robert Chapman,Retired/Honorary members,Retired Member
Dr Roy N Palmer,Retired/Honorary members,London City
Dr John Leckey,Retired/Honorary members,Honorary Member
Mr Roger J Sykes,Retired/Honorary members,Retired Member
David B Harvie,Fiscal,Corresponding Member
Mr Andy Shanks,Fiscal,Corresponding Member
Miss Jennifer Forbes,Fiscal,Corresponding Member
Mr David Crawford,Fiscal,Corresponding Member
Mrs Katrina Parkes,Fiscal,Corresponding Member
Mrs Jemma Eadie,Fiscal,Corresponding Member
Mrs Viki Yuille,Fiscal,Corresponding Member
Miss Stephanie Blair,Fiscal,Corresponding Member
Mr David S. A. Green,Fiscal,Corresponding Member
Ms Selena Brown,Fiscal,Corresponding Member
Ms Denise J Bruce,Fiscal,Corresponding Member
Mr Geoffrey Main,Fiscal,Corresponding Member
